Player,Team,#,Nation,Position,Age,Matches,Starts,Minutes,Goals,Assists,Penalty Shoot,Total Shoot,Shoot on Target,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles
Gorka Guruzeta,Athletic Club,12,ESP,FW,27-338,15,15,791,4,2,0,21,10,0.14,0.14,0.020000000000000004,1,0,282,8,5,14,13,1,141,186,9,122,3,10,5
Darko Brašanac,Leganés,14,SRB,DM,32-187,13,13,790,1,2,0,6,2,0.07692307692307693,0.07692307692307693,0.007692307692307693,0,0,351,13,6,10,17,2,214,275,27,120,3,3,0
Mikel Jauregizar,Athletic Club,31,ESP,DM,20-286,13,13,788,1,0,0,7,1,0.015384615384615385,0.015384615384615385,0.03076923076923077,3,1,499,24,9,7,25,3,335,405,46,254,8,11,7
Álvaro García,Rayo Vallecano,18,ESP,RW,31-302,11,11,786,1,0,0,17,3,0.1636363636363636,0.1636363636363636,0.07272727272727274,3,0,373,18,12,8,37,1,181,277,30,198,21,9,3
Arnaut Danjuma,Villarreal,9,NED,FW,27-201,13,13,774,2,0,0,17,8,0.13076923076923078,0.13076923076923078,0.03076923076923077,2,0,317,7,1,5,16,0,173,232,21,199,46,34,9
Brais Méndez,Real Sociedad,23,ESP,RM,27-224,12,12,771,1,1,0,15,5,0.13333333333333333,0.13333333333333333,0.125,3,0,490,9,3,8,22,1,314,393,46,270,15,16,3
Thierry Correia,Valencia,12,POR,RB,25-161,11,11,768,0,0,0,7,3,0.02727272727272728,0.02727272727272728,0.02727272727272728,1,0,555,27,4,10,16,0,330,441,44,240,16,23,8
Marcos Llorente,Atlético Madrid,14,ESP,"WB,CM",29-202,10,10,764,2,2,0,7,4,0.01,0.01,0.24,0,1,527,19,7,6,20,4,381,456,35,311,20,11,4
Kiké,Alavés,17,ESP,FW,34-265,14,14,762,3,0,0,18,8,0.10714285714285714,0.10714285714285714,0.028571428571428574,4,1,234,4,0,0,15,2,102,157,19,140,3,14,7
Rubén García,Osasuna,14,ESP,RW,31-034,14,14,761,1,2,0,9,3,0.05714285714285715,0.05714285714285715,0.03571428571428571,1,0,469,21,9,13,27,4,259,369,36,233,7,11,3
Dario Essugo,Las Palmas,29,POR,CM,19-191,9,9,759,1,0,0,10,3,0.011111111111111112,0.011111111111111112,0.0,4,0,566,20,19,8,19,1,399,457,42,300,7,11,8
Aitor Paredes,Athletic Club,4,ESP,CB,24-108,9,9,754,1,0,0,3,1,0.13333333333333333,0.13333333333333333,0.0,4,1,493,6,8,10,4,0,351,409,25,255,1,0,0
Borja Iglesias,Celta Vigo,7,ESP,FW,31-212,15,15,748,4,0,0,17,10,0.24000000000000002,0.24000000000000002,0.04666666666666666,0,0,266,4,3,5,12,1,143,186,9,175,6,13,7
Stanko Jurić,Valladolid,20,CRO,CM,28-003,12,12,741,0,0,0,4,1,0.05833333333333333,0.05833333333333333,0.025000000000000005,4,0,388,22,8,14,4,0,247,294,26,158,2,4,4
Bertuğ Yıldırım,Getafe,10,TUR,FW,22-051,11,11,735,1,0,0,15,5,0.19090909090909092,0.19090909090909092,0.08181818181818182,5,0,194,6,0,5,15,1,57,109,8,83,4,8,4
Cyle Larin,Mallorca,17,CAN,LW,29-123,13,13,734,2,2,0,14,5,0.13076923076923078,0.13076923076923078,0.07692307692307691,2,0,220,4,1,6,12,1,96,138,5,121,7,9,2
Pape Gueye,Villarreal,18,SEN,CM,25-208,12,12,733,0,0,0,16,5,0.09166666666666667,0.09166666666666667,0.041666666666666664,3,1,436,16,8,6,18,3,264,343,52,265,15,9,0
Marc Roca,Real Betis,21,ESP,DM,27-263,9,9,729,0,1,0,8,0,0.044444444444444446,0.044444444444444446,0.03333333333333334,3,0,504,14,8,16,21,1,382,434,49,310,10,5,4
Vitor Roque,Real Betis,8,BRA,FW,19-186,11,11,726,2,0,0,27,13,0.34545454545454546,0.34545454545454546,0.07272727272727274,0,0,201,3,4,1,18,1,76,110,6,124,14,16,5
Sandro Ramírez,Las Palmas,19,ESP,RW,29-038,12,12,719,4,2,0,15,7,0.125,0.125,0.09166666666666667,2,0,296,15,8,4,18,3,145,218,18,143,19,14,6
Jonathan Bamba,Celta Vigo,17,CIV,AM,28-143,10,10,718,0,0,0,11,4,0.08,0.08,0.12,1,0,429,10,5,6,24,3,271,336,29,279,28,32,13
Javi López,Real Sociedad,12,ESP,LB,22-146,11,11,716,0,0,0,3,0,0.0,0.0,0.02727272727272727,1,0,473,14,3,5,7,0,324,396,25,219,16,12,5
Oliver McBurnie,Las Palmas,16,SCO,FW,28-073,14,14,714,0,3,0,10,4,0.0642857142857143,0.0642857142857143,0.10714285714285714,0,0,275,5,3,4,22,3,141,198,14,145,2,13,7
Alejo Véliz,Espanyol,9,ARG,FW,20-335,12,12,711,1,0,0,13,4,0.1416666666666667,0.1416666666666667,0.041666666666666664,2,0,189,1,2,11,4,0,76,109,5,68,1,5,1
Beñat Prados,Athletic Club,24,ESP,DM,23-189,13,13,707,1,0,0,8,4,0.038461538461538464,0.038461538461538464,0.015384615384615385,5,0,440,14,16,12,8,1,295,358,31,220,10,10,3
Isaac Palazón Camacho,Rayo Vallecano,7,ESP,"FW,RW",29-235,13,13,706,1,0,0,19,4,0.14615384615384613,0.14615384615384613,0.06153846153846154,1,0,329,9,5,6,27,0,176,231,22,177,9,25,9
Nahuel Molina,Atlético Madrid,16,ARG,WB,26-135,10,10,705,0,1,0,4,1,0.04,0.04,0.05,0,0,604,18,6,8,22,2,402,526,27,348,18,14,7
Javi Sánchez,Valladolid,5,ESP,CB,27-158,9,9,702,0,0,0,3,1,0.011111111111111112,0.011111111111111112,0.022222222222222223,2,0,464,8,7,13,4,1,325,382,8,266,0,0,0
Abel Ruiz,Girona,9,ESP,FW,24-200,10,10,701,2,0,1,12,4,0.22000000000000003,0.13999999999999999,0.01,2,0,224,2,2,4,7,1,136,152,12,138,11,13,4
Álvaro Tejero,Espanyol,12,ESP,"RM,RB",28-030,13,13,692,1,2,0,8,2,0.03076923076923077,0.03076923076923077,0.16153846153846155,0,0,385,6,4,7,31,4,225,318,22,167,17,10,2
Alexander Sørloth,Atlético Madrid,9,NOR,FW,28-258,15,15,690,6,2,0,29,12,0.36666666666666664,0.36666666666666664,0.08666666666666667,0,0,268,3,0,2,21,4,107,169,12,132,12,10,5
Lucien Agoume,Sevilla,18,FRA,DM,22-189,13,13,690,0,0,0,3,0,0.007692307692307693,0.007692307692307693,0.038461538461538464,1,1,503,22,11,13,19,1,333,417,32,247,12,12,10
Conor Gallagher,Atlético Madrid,4,ENG,CM,24-201,11,11,689,2,0,0,8,2,0.09999999999999999,0.09999999999999999,0.009090909090909092,1,0,415,20,7,9,9,1,276,329,21,246,6,13,4
Ferland Mendy,Real Madrid,23,FRA,LB,29-071,10,10,684,0,0,0,0,0,0.0,0.0,0.0,1,1,511,15,8,7,2,0,428,460,26,305,8,3,1
Javier Guerra,Valencia,8,ESP,CM,21-229,12,12,679,0,1,0,11,0,0.025000000000000005,0.025000000000000005,0.05833333333333333,1,0,383,23,4,5,16,2,202,281,32,196,10,15,5
Moussa Diarra,Alavés,22,MLI,LB,23-280,10,10,669,0,0,0,0,0,0.0,0.0,0.0,2,0,360,15,8,4,6,1,255,313,36,198,7,4,3
Fran Garcia,Real Madrid,20,ESP,LB,25-011,12,12,667,0,0,0,7,2,0.03333333333333333,0.03333333333333333,0.016666666666666666,0,0,543,9,6,6,14,0,423,482,38,300,14,8,3
Dimitri Foulquier,Valencia,20,FRA,LM,31-147,13,13,664,0,0,0,6,1,0.007692307692307693,0.007692307692307693,0.007692307692307693,2,0,406,21,2,7,10,0,234,328,14,177,9,17,4
Mamadou Sylla,Valladolid,7,SEN,FW,30-152,12,12,664,2,1,2,9,1,0.25,0.125,0.049999999999999996,1,0,156,2,1,3,8,3,59,101,6,60,6,4,1
Iñigo Ruiz de Galarreta,Athletic Club,16,ESP,DM,31-040,12,12,657,0,1,0,2,0,0.0,0.0,0.075,3,0,440,16,2,5,19,1,326,394,64,253,10,6,5
Marc Bartra,Real Betis,5,ESP,CB,33-213,8,8,656,2,0,0,7,4,0.1,0.1,0.0,1,0,513,8,11,9,4,1,337,427,23,308,2,6,3
Djibril Sow,Sevilla,20,SUI,"DM,AM",27-192,12,12,656,1,0,0,9,4,0.125,0.125,0.016666666666666666,3,0,364,5,5,4,20,0,271,308,38,186,10,4,0
Pep Chavarría,Rayo Vallecano,3,ESP,LW,26-130,10,10,653,0,1,0,3,1,0.04,0.04,0.02,1,0,492,13,10,8,11,1,325,415,35,236,12,6,1
Sergio Camello,Rayo Vallecano,14,ESP,FW,23-190,13,13,652,2,0,0,20,6,0.23076923076923078,0.23076923076923078,0.061538461538461535,1,0,236,7,4,7,22,2,126,160,15,137,11,13,7
Donny van de Beek,Girona,6,NED,FW,27-133,11,11,652,1,2,0,7,2,0.03636363636363637,0.02727272727272728,0.23636363636363636,3,0,290,14,3,8,10,2,185,226,18,142,8,8,3
Albert Sambi Lokonga,Sevilla,12,BEL,CM,24-310,9,9,651,0,1,0,5,1,0.022222222222222223,0.022222222222222223,0.03333333333333334,1,0,487,8,2,5,13,1,400,437,48,280,13,7,3
Samuel Lino,Atlético Madrid,12,BRA,"AM,WB,CM",24-240,12,12,651,0,1,0,19,7,0.25,0.25,0.125,1,0,423,9,4,10,17,1,276,345,33,276,24,18,10
Rodrigo De Paul,Atlético Madrid,5,ARG,CM,30-087,14,14,651,1,3,0,4,1,0.04285714285714286,0.04285714285714286,0.1571428571428571,3,0,580,5,2,5,31,4,428,536,75,392,22,8,4
Luka Modrić,Real Madrid,10,CRO,CM,38-344,15,15,649,0,2,0,8,2,0.020000000000000004,0.020000000000000004,0.21333333333333335,3,0,681,7,7,6,44,4,546,623,54,422,17,5,4
Youssouf Sabaly,Real Betis,23,SEN,RB,31-163,9,9,647,0,0,0,3,0,0.011111111111111112,0.011111111111111112,0.044444444444444446,1,0,500,18,6,7,11,1,352,418,28,255,7,15,7
Reinildo Mandava,Atlético Madrid,23,MOZ,WB,30-211,13,13,647,0,0,0,1,1,0.007692307692307693,0.007692307692307693,0.007692307692307693,3,0,506,16,10,7,7,1,361,435,22,290,8,7,2
Ladislav Krejčí,Girona,18,CZE,CB,25-117,8,8,640,2,0,0,6,4,0.1375,0.1375,0.0,3,0,717,6,12,7,5,2,593,663,46,431,14,1,0
Omar Mascarell,Mallorca,5,EQG,CM,31-198,13,13,639,0,0,0,3,1,0.007692307692307693,0.007692307692307693,0.0,2,0,366,14,14,11,2,0,245,283,22,159,5,6,4
Peque,Sevilla,14,ESP,FW,21-317,12,12,639,0,0,0,9,2,0.10833333333333335,0.10833333333333335,0.075,1,0,273,9,6,10,20,0,149,189,21,155,8,14,4
Pol Lozano,Espanyol,10,ESP,CM,24-318,10,10,635,0,0,0,1,0,0.0,0.0,0.02,4,0,337,20,8,10,15,1,212,266,30,156,0,4,0
Antonio Sánchez,Mallorca,18,ESP,RW,27-230,15,15,631,0,0,0,6,1,0.03333333333333333,0.03333333333333333,0.04000000000000001,0,0,343,13,9,8,8,0,184,260,18,160,6,9,4
Sheraldo Becker,Real Sociedad,11,SUR,LW,29-191,13,13,630,1,0,0,15,8,0.08461538461538462,0.08461538461538462,0.06923076923076923,0,0,233,2,1,4,11,0,114,187,15,148,27,6,3
Robin Le Normand,Atlético Madrid,24,ESP,CB,27-282,7,7,630,0,0,0,3,0,0.042857142857142864,0.042857142857142864,0.014285714285714287,2,0,476,11,2,3,2,0,381,424,28,307,4,1,1
Lucas Vázquez,Real Madrid,17,ESP,RB,33-048,12,12,623,1,1,0,2,1,0.016666666666666666,0.016666666666666666,0.06666666666666667,2,0,518,18,3,4,15,1,393,456,30,254,5,8,5
Damián Rodríguez,Celta Vigo,28,ESP,CM,21-152,11,11,622,0,0,0,1,0,0.0,0.0,0.05454545454545456,2,0,553,8,5,4,17,2,453,515,40,337,3,1,0
Axel Witsel,Atlético Madrid,20,BEL,CB,35-220,9,9,620,0,1,0,1,0,0.0,0.0,0.05555555555555555,0,0,485,10,6,9,3,2,380,419,16,299,2,1,1
Giovani Lo Celso,Real Betis,20,ARG,AM,28-157,9,9,617,5,1,1,17,9,0.24444444444444446,0.15555555555555556,0.26666666666666666,1,0,525,17,1,4,47,4,345,433,64,314,9,30,11
Enric Franquesa,Leganés,15,ESP,LW,27-173,12,12,616,1,0,0,3,1,0.025000000000000005,0.025000000000000005,0.008333333333333333,1,0,306,17,5,7,6,0,158,225,12,133,11,21,9
Dani Carvajal,Real Madrid,2,ESP,RB,32-220,8,8,609,1,0,0,3,1,0.1625,0.1625,0.025,1,0,532,12,10,8,12,2,399,463,27,278,13,5,2
David Torres,Valladolid,3,ESP,CB,21-167,8,8,607,0,0,0,1,0,0.0,0.0,0.0,3,0,348,3,2,9,1,0,249,294,16,174,0,0,0
Oriol Romeu,Girona,14,ESP,CM,32-326,10,10,603,0,0,0,1,0,0.0,0.0,0.01,3,0,490,20,2,10,9,0,388,429,32,262,6,5,2
Anastasios Douvikas,Celta Vigo,9,GRE,FW,25-014,15,15,603,3,0,0,16,8,0.26,0.26,0.02,2,0,170,7,3,5,11,1,70,97,7,101,6,13,4
Ilaix Moriba,Celta Vigo,6,GUI,CM,21-210,12,12,602,0,0,0,9,2,0.016666666666666666,0.016666666666666666,0.075,5,1,443,20,5,6,19,0,313,358,34,299,12,12,5
Mika Màrmol,Las Palmas,3,ESP,"CB,LB",22-045,9,9,599,0,0,0,3,0,0.011111111111111112,0.011111111111111112,0.022222222222222223,2,0,480,14,10,14,9,2,335,410,26,252,3,2,2
Adrià Altimira,Leganés,2,ESP,"RM,CM",23-150,9,9,598,0,0,0,3,0,0.011111111111111112,0.011111111111111112,0.0,1,0,296,15,12,7,5,1,168,209,17,144,12,16,6
Adri Embarba,Rayo Vallecano,21,ESP,LM,32-103,12,12,598,0,1,0,16,3,0.07500000000000001,0.07500000000000001,0.09166666666666667,2,0,325,13,4,7,17,0,144,241,20,159,19,18,8
Hugo Sotelo,Celta Vigo,33,ESP,CM,20-257,11,11,598,0,0,0,3,0,0.009090909090909092,0.009090909090909092,0.045454545454545456,4,0,576,14,1,6,17,0,473,540,40,379,13,9,4
Selim Amallah,Valladolid,21,MAR,CM,27-278,10,10,593,1,1,1,11,3,0.13,0.05,0.02,1,0,252,9,7,12,13,1,126,170,24,131,10,24,13
Stoichkov,Alavés,19,ESP,AM,30-285,13,13,592,0,1,0,16,2,0.06153846153846154,0.06153846153846154,0.0923076923076923,1,0,257,13,1,2,26,2,107,178,23,154,8,18,6
Ilias Akhomach,Villarreal,11,MAR,RM,20-125,11,11,584,1,0,0,17,6,0.05454545454545456,0.05454545454545456,0.09090909090909091,1,0,292,12,3,8,29,1,136,185,12,200,30,43,19
Unai López,Rayo Vallecano,17,ESP,CM,28-293,11,11,582,2,0,0,7,4,0.03636363636363637,0.03636363636363637,0.018181818181818184,4,1,444,7,12,7,14,0,320,379,33,243,7,3,2
Bojan Miovski,Girona,19,MKD,FW,25-062,9,9,580,2,1,0,11,4,0.26666666666666666,0.26666666666666666,0.011111111111111112,0,0,114,6,1,4,7,4,54,68,2,57,2,2,0
José Gragera,Espanyol,15,ESP,CM,23-263,10,10,569,0,0,0,2,0,0.0,0.0,0.0,0,0,284,25,5,9,7,0,190,217,14,119,1,4,1
Johnny Cardoso,Real Betis,4,USA,DM,22-330,9,9,565,0,1,0,5,0,0.07777777777777778,0.07777777777777778,0.06666666666666668,1,0,373,18,14,9,10,1,230,275,22,173,3,8,5
Nicolas Pépé,Villarreal,19,CIV,FW,29-082,11,11,565,1,2,0,23,10,0.2,0.2,0.06363636363636363,1,0,322,4,3,3,19,3,196,244,22,213,26,24,12
Sergi Gómez,Espanyol,3,ESP,CB,32-144,10,10,562,0,0,0,2,1,0.03,0.03,0.0,0,0,340,6,6,12,3,0,248,280,5,177,0,0,0
Jesus Vazquez,Valencia,21,ESP,LB,21-228,8,8,559,0,0,0,3,1,0.0,0.0,0.025,2,0,365,16,5,11,5,1,206,274,12,150,21,23,9
Kike Salas,Sevilla,4,ESP,CB,22-115,10,10,558,0,0,0,5,0,0.01,0.01,0.0,2,0,507,6,10,8,4,2,352,443,19,249,2,1,0
Aitor Ruibal,Real Betis,24,ESP,FW,28-146,12,12,558,0,1,0,8,2,0.041666666666666664,0.041666666666666664,0.08333333333333333,2,0,286,12,7,9,21,1,166,209,16,152,11,12,7
Alejandro Francés,Girona,16,ESP,RB,22-028,8,8,556,0,0,0,5,0,0.025,0.025,0.0,1,0,494,19,9,6,9,1,362,422,33,263,9,5,2
