Player,Team,#,Nation,Position,Age,Matches,Starts,Minutes,Goals,Assists,Penalty Shoot,Total Shoot,Shoot on Target,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles
Iván Balliu,Rayo Vallecano,20,ALB,RB,32-230,9,9,503,0,0,0,0,0,0.0,0.0,0.011111111111111112,1,0,275,9,5,4,7,1,163,229,16,101,4,3,2
Enzo Barrenechea,Valencia,5,ARG,CM,23-116,9,9,499,1,0,0,4,1,0.06666666666666667,0.06666666666666667,0.022222222222222223,3,0,308,11,5,9,9,3,201,254,20,136,3,5,1
Marc-André ter Stegen,Barcelona,1,GER,GK,32-109,6,6,494,0,0,0,0,0,0.0,0.0,0.0,0,0,212,0,0,0,1,0,186,203,0,140,0,0,0
Javier Manquillo,Celta Vigo,22,ESP,CB,30-103,9,9,494,0,0,0,0,0,0.0,0.0,0.0,1,0,376,7,6,5,1,0,298,336,21,228,3,1,0
Toni Martínez,Alavés,11,ESP,FW,27-059,12,12,492,3,0,0,25,9,0.11666666666666668,0.11666666666666668,0.041666666666666664,0,0,182,5,0,5,16,1,61,109,4,70,4,4,3
Juanlu Sánchez,Sevilla,26,ESP,AM,21-001,11,11,490,1,1,0,5,1,0.0818181818181818,0.0818181818181818,0.009090909090909092,3,1,209,7,6,0,12,1,133,167,14,98,9,8,1
Clément Lenglet,Atlético Madrid,15,FRA,CB,29-111,6,6,485,1,0,0,3,1,0.21666666666666665,0.21666666666666665,0.016666666666666666,4,0,370,2,7,5,5,0,278,319,25,252,7,1,1
César Azpilicueta,Atlético Madrid,3,ESP,CB,34-357,6,6,480,0,0,0,3,1,0.03333333333333333,0.03333333333333333,0.0,0,0,427,12,2,2,3,0,339,389,39,230,7,0,0
Dani Olmo,Barcelona,20,ESP,AM,26-112,8,8,472,5,0,0,20,8,0.275,0.275,0.125,0,0,277,6,2,2,18,3,169,212,34,177,14,21,12
Viktor Tsyhankov,Girona,8,UKR,RW,26-284,7,7,471,1,1,0,9,3,0.1285714285714286,0.1285714285714286,0.1285714285714286,1,0,280,4,1,0,14,1,188,242,23,168,13,8,5
Tomás Conechny,Alavés,10,ARG,LW,26-139,9,9,471,1,0,0,14,7,0.13333333333333333,0.13333333333333333,0.022222222222222223,3,0,224,4,4,7,9,0,87,159,5,136,8,3,0
Domingos André Ribeiro Almeida,Valencia,10,POR,FW,24-079,11,11,470,0,0,0,3,1,0.009090909090909092,0.009090909090909092,0.02727272727272728,1,0,286,14,3,6,19,0,197,239,37,163,10,11,6
Brian Oliván,Espanyol,14,ESP,"LM,LB",30-145,10,10,468,0,1,0,1,1,0.0,0.0,0.030000000000000006,0,0,230,6,3,4,10,1,128,190,19,104,8,1,0
Yarek Gasiorowski,Valencia,24,ESP,CB,19-218,6,6,459,0,0,0,1,0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0,0,306,16,6,7,3,0,194,245,11,137,1,0,0
Marcão,Sevilla,23,BRA,CB,28-079,8,8,456,0,0,0,0,0,0.0,0.0,0.0,4,1,312,9,6,9,1,0,223,254,17,170,0,3,0
Abdulai Juma Bah,Valladolid,35,SLE,CB,18-163,6,6,454,0,0,0,1,1,0.0,0.0,0.0,1,0,255,4,6,5,2,0,157,201,11,130,0,3,3
Pathé Ciss,Rayo Vallecano,6,SEN,CM,30-155,10,10,453,0,1,0,5,0,0.030000000000000006,0.030000000000000006,0.04,3,0,307,9,8,7,19,1,191,234,32,130,3,9,5
Eric García,Barcelona,24,ESP,CM,23-221,9,9,452,0,1,0,5,2,0.06666666666666668,0.06666666666666668,0.044444444444444446,0,0,349,10,4,8,9,4,268,297,29,153,8,4,1
Ezequiel Ávila,Real Betis,9,ARG,FW,30-191,13,13,451,2,0,0,17,8,0.13846153846153847,0.13846153846153847,0.05384615384615384,4,0,239,4,1,4,24,2,127,174,17,122,9,7,3
Santiago Mouriño,Alavés,12,URU,"CB,DM",22-214,8,8,451,0,0,0,3,2,0.025,0.025,0.025,1,0,229,13,9,4,3,0,144,178,14,117,7,3,2
Jailson Siqueira,Celta Vigo,16,BRA,AM,28-344,6,6,451,0,0,0,2,1,0.016666666666666666,0.016666666666666666,0.0,0,0,398,7,8,5,7,0,316,351,30,269,4,4,3
Leo Román,Mallorca,13,ESP,GK,24-052,5,5,450,0,0,0,0,0,0.0,0.0,0.0,0,0,184,0,0,0,0,0,104,170,0,88,0,1,1
Juanmi Latasa,Valladolid,14,ESP,FW,23-158,10,10,449,0,0,0,12,0,0.1,0.1,0.01,3,0,131,1,0,2,9,0,48,89,6,51,1,5,3
Carlos Martín,Alavés,15,ESP,FW,22-125,9,9,443,1,0,0,9,4,0.13333333333333333,0.13333333333333333,0.04444444444444444,1,0,161,11,0,7,6,0,61,100,6,89,6,8,2
Óscar Rodríguez Arnaiz,Leganés,7,ESP,CM,26-058,10,10,436,1,2,0,9,3,0.06999999999999999,0.06999999999999999,0.05,3,0,231,11,6,2,15,3,125,179,19,116,7,13,6
Ferrán Torres,Barcelona,7,ESP,LW,24-170,10,10,434,2,2,0,15,7,0.15,0.15,0.04,0,1,184,5,1,5,13,2,95,134,13,96,10,8,6
Álvaro djaló,Athletic Club,11,ESP,LW,25-012,11,11,432,1,0,0,14,3,0.07272727272727274,0.07272727272727274,0.07272727272727274,0,0,143,5,1,2,8,1,51,77,7,91,14,20,8
Unai Gómez,Athletic Club,20,ESP,DM,21-082,15,15,429,0,1,0,6,0,0.03333333333333333,0.03333333333333333,0.013333333333333334,1,0,169,3,2,4,9,0,81,115,14,90,7,17,7
Marvin,Las Palmas,2,ESP,RB,24-044,7,7,427,0,0,0,0,0,0.0,0.0,0.08571428571428572,1,0,245,10,5,4,4,0,146,199,11,119,17,3,1
Pablo Ibáñez,Osasuna,8,ESP,CM,25-339,12,12,426,0,1,0,8,2,0.075,0.075,0.08333333333333333,1,0,197,7,8,9,7,2,92,140,16,89,3,6,3
Dani Gómez,Valencia,17,ESP,FW,26-018,11,11,426,1,0,0,8,4,0.11818181818181818,0.11818181818181818,0.0,0,0,95,3,2,1,3,0,44,61,3,50,2,5,1
Giuliano Simeone,Atlético Madrid,22,ARG,AM,21-257,10,10,426,1,2,0,3,3,0.02,0.02,0.08,2,0,270,8,2,5,9,2,163,214,14,156,23,20,8
Randy Nteka,Rayo Vallecano,11,ANG,FW,26-256,9,9,425,1,0,0,7,3,0.05555555555555555,0.05555555555555555,0.03333333333333334,1,0,139,5,1,4,8,0,57,93,5,53,1,3,0
Gerard Gumbau,Rayo Vallecano,15,ESP,CM,29-244,9,9,422,0,1,0,6,3,0.05555555555555555,0.05555555555555555,0.1,2,0,221,10,3,4,16,1,113,175,15,94,1,3,1
Rubén Peña,Osasuna,15,ESP,RW,33-030,13,13,422,0,0,0,7,2,0.04615384615384616,0.04615384615384616,0.015384615384615385,1,0,173,6,4,9,8,0,56,105,12,82,10,17,6
Adama Boiro,Athletic Club,32,ESP,LB,22-067,6,6,420,0,0,0,1,0,0.0,0.0,0.0,0,0,220,7,5,6,1,0,139,171,14,103,6,7,3
Copete,Mallorca,6,ESP,CM,24-313,10,10,419,0,0,0,4,2,0.030000000000000006,0.030000000000000006,0.0,2,0,261,8,4,5,1,0,166,199,10,124,3,0,0
Aleksandar Sedlar,Alavés,4,SRB,CB,32-256,6,6,415,0,0,0,1,0,0.0,0.0,0.0,1,1,189,15,7,2,1,0,123,154,6,95,1,1,0
Irvin Cardona,Espanyol,24,FRA,"FW,LM",27-011,12,12,413,1,1,0,9,3,0.08333333333333333,0.08333333333333333,0.03333333333333333,1,0,162,7,3,4,17,3,66,106,10,73,11,7,2
Ángel Correa,Atlético Madrid,10,ARG,FW,29-163,14,14,407,2,1,0,18,5,0.2285714285714286,0.2285714285714286,0.07857142857142858,2,0,209,3,2,4,14,3,102,146,11,141,11,18,10
Javi Galán,Atlético Madrid,21,ESP,LB,29-315,7,7,406,0,2,0,2,0,0.0,0.0,0.1857142857142857,3,0,291,10,3,6,12,3,197,235,13,166,15,21,6
Rodrigo Riquelme,Atlético Madrid,17,ESP,LB,24-145,10,10,404,0,0,0,11,4,0.08,0.08,0.05,0,0,265,8,1,2,19,0,163,203,19,187,35,18,4
Sébastien Haller,Leganés,18,CIV,FW,30-083,8,8,404,0,0,0,4,1,0.0625,0.0625,0.025,0,0,129,2,0,1,4,0,54,90,4,55,3,3,1
Pica,Alavés,36,ESP,CB,22-240,6,6,404,0,0,0,3,1,0.05000000000000001,0.05000000000000001,0.0,1,0,220,7,7,6,1,0,138,174,14,114,3,1,1
Anuar,Valladolid,23,MAR,"LM,RM",29-277,6,6,402,1,0,0,3,2,0.08333333333333333,0.08333333333333333,0.016666666666666666,3,0,124,8,4,6,2,1,49,77,1,59,2,3,0
Yaser Asprilla,Girona,10,COL,"RM,FW",20-284,7,7,399,1,0,0,8,1,0.09999999999999999,0.09999999999999999,0.08571428571428572,1,0,282,8,3,1,21,4,174,235,34,180,19,19,7
Gerard Martín,Barcelona,35,ESP,LB,22-229,11,11,390,0,1,0,0,0,0.0,0.0,0.02727272727272728,2,0,322,10,5,8,8,1,229,277,16,120,6,2,0
Arda Güler,Real Madrid,15,TUR,RM,19-175,11,11,389,0,1,0,15,7,0.12727272727272726,0.12727272727272726,0.13636363636363635,1,0,302,11,1,8,26,4,206,240,26,203,11,19,9
Eduardo Camavinga,Real Madrid,6,FRA,CM,21-330,5,5,388,0,1,0,3,0,0.04,0.04,0.02,0,0,310,9,6,9,8,0,229,262,24,188,9,5,2
Álvaro Fernández,Sevilla,1,ESP,GK,26-195,5,5,387,0,0,0,0,0,0.0,0.0,0.02,0,0,180,0,0,0,2,0,111,169,0,99,0,0,0
Jon Pacheco,Real Sociedad,20,ESP,CB,23-223,7,7,386,0,0,0,1,0,0.014285714285714287,0.014285714285714287,0.0,2,0,280,4,4,5,3,0,209,241,12,156,6,0,0
Dani Raba,Leganés,10,ESP,RW,28-293,8,8,383,0,3,1,6,2,0.125,0.025,0.1625,0,0,202,14,6,4,24,4,85,137,12,98,11,21,13
Walid Cheddira,Espanyol,16,MAR,FW,26-219,11,11,383,1,1,0,7,2,0.06363636363636363,0.06363636363636363,0.05454545454545454,2,0,121,3,1,2,10,4,36,55,6,67,5,14,3
Víctor Meseguer,Valladolid,4,ESP,CM,25-071,12,12,381,0,0,0,5,0,0.025000000000000005,0.025000000000000005,0.0,0,0,212,10,2,3,8,1,137,174,21,93,2,3,1
Moi Gómez,Osasuna,16,ESP,LM,30-055,13,13,380,0,0,0,2,0,0.007692307692307693,0.007692307692307693,0.015384615384615385,1,0,242,9,5,2,8,0,149,197,21,130,6,14,8
Juan Herzog,Las Palmas,28,ESP,CB,21-131,5,5,377,0,0,0,3,0,0.04,0.04,0.0,0,0,289,2,4,4,0,0,224,248,11,166,0,1,0
Jorge Herrando,Osasuna,5,ESP,CB,23-171,6,6,375,0,0,0,1,1,0.016666666666666666,0.016666666666666666,0.0,2,0,213,3,1,6,1,0,134,180,7,111,3,0,0
Mikel Vesga,Athletic Club,6,ESP,DM,31-086,9,9,373,0,0,0,1,0,0.0,0.0,0.05555555555555555,1,0,245,8,6,6,7,0,168,207,25,111,2,4,2
Iñigo Lekue,Athletic Club,15,ESP,RB,31-103,7,7,373,0,0,0,0,0,0.0,0.0,0.0,1,0,260,6,3,2,6,0,173,227,20,125,7,3,1
Abderrahman Rebbach,Alavés,21,ALG,"LW,LM",26-017,7,7,361,0,0,0,6,1,0.014285714285714287,0.014285714285714287,0.042857142857142864,1,0,163,3,0,4,10,0,69,111,4,98,15,11,3
Munir El Haddadi,Leganés,23,MAR,LW,28-362,9,9,360,1,0,0,4,2,0.011111111111111112,0.011111111111111112,0.022222222222222223,1,0,144,10,0,5,5,0,66,99,8,84,4,9,1
Iván Villar,Celta Vigo,1,ESP,GK,27-038,4,4,360,0,0,0,0,0,0.0,0.0,0.0,0,0,130,0,0,0,0,0,95,117,0,60,0,0,0
Cárdenas,Rayo Vallecano,1,ESP,GK,27-143,4,4,360,0,0,0,0,0,0.0,0.0,0.0,0,0,109,0,0,0,1,0,57,103,0,50,0,0,0
Roberto López,Leganés,21,ESP,CB,24-115,9,9,358,0,1,0,5,0,0.044444444444444446,0.044444444444444446,0.07777777777777778,0,0,221,7,1,4,13,1,144,193,20,109,3,4,2
Andoni Gorosabel,Athletic Club,2,ESP,RB,28-011,6,6,355,0,1,0,2,1,0.049999999999999996,0.049999999999999996,0.09999999999999999,1,0,254,9,1,4,6,1,174,209,13,110,4,4,2
Kelechi Iheanacho,Sevilla,9,NGA,FW,27-325,7,7,354,0,0,0,9,2,0.2285714285714286,0.2285714285714286,0.042857142857142864,0,0,102,1,0,0,12,0,57,76,5,57,6,4,2
Saúl Ñíguez,Sevilla,17,ESP,LM,29-276,5,5,347,0,2,0,11,3,0.16,0.16,0.16,1,1,227,9,2,6,14,3,141,176,24,122,2,6,2
Carlos Dominguez,Celta Vigo,24,ESP,CB,23-187,6,6,344,0,0,0,2,1,0.016666666666666666,0.016666666666666666,0.0,0,0,340,7,4,4,2,0,261,297,23,203,2,0,0
Brahim Díaz,Real Madrid,21,MAR,LW,25-015,10,10,344,1,2,0,5,1,0.1,0.1,0.16999999999999998,0,0,228,11,1,2,21,5,154,183,23,153,9,17,10
Joan Jordán,Alavés,24,ESP,"DM,RW",30-070,8,8,343,0,2,0,6,1,0.0625,0.0625,0.025,1,0,294,11,2,4,18,3,177,264,38,140,4,3,2
Iker Losada,Real Betis,19,ESP,AM,23-031,10,10,336,0,0,0,5,1,0.04,0.04,0.02,0,0,179,10,3,2,8,0,107,142,14,101,9,5,2
Ricardo Rodríguez,Real Betis,12,SUI,LB,32-000,6,6,334,0,0,0,0,0,0.0,0.0,0.03333333333333333,0,0,230,9,3,2,4,0,159,199,13,111,3,3,3
Allan Nyom,Getafe,12,CMR,LM,36-163,6,6,332,1,1,0,6,2,0.06666666666666667,0.06666666666666667,0.05000000000000001,3,0,199,3,2,1,9,2,132,166,10,98,3,6,1
Raúl Asencio,Real Madrid,35,ESP,CB,21-270,4,4,331,0,1,0,0,0,0.0,0.0,0.125,0,0,282,6,3,0,5,1,228,247,6,176,2,3,2
Hugo Guillamón,Valencia,6,ESP,CM,24-199,8,8,330,0,0,0,1,0,0.0,0.0,0.0,2,0,189,9,5,2,4,1,128,160,10,65,0,0,0
Jesús Navas,Sevilla,16,ESP,RW,38-269,13,13,328,1,0,0,3,2,0.038461538461538464,0.038461538461538464,0.03076923076923077,0,0,241,4,2,0,13,0,169,217,15,123,8,4,3
Orri Steinn Óskarsson,Real Sociedad,9,ISL,FW,20-003,9,9,323,2,0,0,7,3,0.30000000000000004,0.30000000000000004,0.0,0,0,96,4,0,6,2,0,35,60,3,33,1,1,0
Jhon Solis,Girona,22,COL,CM,19-317,7,7,321,0,0,0,2,0,0.014285714285714287,0.014285714285714287,0.0,0,0,233,4,3,10,5,0,177,196,21,151,2,8,5
Alex Padilla,Athletic Club,26,ESP,GK,20-349,5,5,321,0,0,0,0,0,0.0,0.0,0.0,0,0,134,0,0,0,0,0,67,121,0,69,0,0,0
Takuma Asano,Mallorca,11,JPN,"RW,LW",29-282,6,6,319,0,0,0,9,3,0.10000000000000002,0.10000000000000002,0.0,0,0,114,5,2,3,4,0,44,73,9,71,16,9,3
Aihen Muñoz,Real Sociedad,3,ESP,RB,27-016,7,7,318,0,0,0,0,0,0.0,0.0,0.014285714285714287,1,0,201,4,6,2,3,0,124,168,17,95,9,5,2
Dani Ceballos,Real Madrid,19,ESP,"AM,LW",28-018,6,6,316,0,0,0,0,0,0.0,0.0,0.016666666666666666,1,0,348,14,4,4,11,2,294,318,28,216,4,5,3
Álvaro Aguado,Espanyol,18,ESP,CM,28-110,9,9,316,0,0,0,9,0,0.044444444444444446,0.044444444444444446,0.0,1,0,204,4,2,5,13,0,125,164,24,120,8,5,3
Carles Aleñá,Getafe,11,ESP,"CM,RM",26-223,7,7,311,0,0,0,4,1,0.1142857142857143,0.1142857142857143,0.0,1,0,113,6,0,7,3,0,65,82,8,59,2,4,3
Hamari Traoré,Real Sociedad,18,MLI,RB,32-204,4,4,311,0,1,0,0,0,0.0,0.0,0.05,0,0,227,11,3,1,3,1,156,196,11,81,4,3,2
Álvaro Rodríguez,Getafe,18,URU,FW,20-076,8,8,310,1,0,0,8,3,0.075,0.075,0.0125,2,0,132,3,3,11,4,0,33,66,2,52,0,9,4
Fermin López,Barcelona,16,ESP,AM,21-105,10,10,308,0,0,0,9,2,0.06999999999999999,0.06999999999999999,0.05,2,0,171,6,2,1,3,0,113,133,15,102,10,7,2
Raúl,Osasuna,9,ESP,LW,23-288,14,14,307,1,0,0,6,3,0.028571428571428574,0.028571428571428574,0.03571428571428571,0,0,87,3,0,2,7,1,36,60,3,53,5,7,6
Alfonso Espino,Rayo Vallecano,22,URU,LB,32-226,4,4,304,0,0,0,3,1,0.0,0.0,0.0,1,0,170,16,7,6,3,0,71,121,8,54,5,6,3
Manuel Fuster,Las Palmas,14,ESP,"DM,LW",26-299,10,10,293,1,0,0,6,1,0.02,0.02,0.05,0,0,216,5,1,4,18,1,143,181,17,120,8,5,1
Valentín Barco,Sevilla,19,ARG,"LB,WB",20-040,7,7,288,0,0,0,7,0,0.028571428571428574,0.028571428571428574,0.09999999999999999,0,0,237,15,2,0,10,0,139,191,13,122,4,13,3
Aritz Elustondo,Real Sociedad,6,ESP,CB,30-143,6,6,282,0,0,0,1,0,0.03333333333333333,0.03333333333333333,0.016666666666666666,0,0,234,6,2,6,4,0,166,199,11,114,4,2,0
Benito Ramírez,Las Palmas,11,ESP,LB,29-045,10,10,279,0,0,0,5,0,0.01,0.01,0.05,1,0,250,3,1,6,16,0,169,211,11,129,11,4,0
José Luis Gayà,Valencia,14,ESP,LB,29-149,4,4,279,0,1,0,0,0,0.0,0.0,0.17500000000000002,1,0,191,6,4,0,9,2,118,161,9,108,8,5,1
Ander Herrera,Athletic Club,21,ESP,DM,35-001,8,8,273,0,0,1,7,3,0.21250000000000002,0.1125,0.0125,2,0,237,8,2,2,11,0,180,199,16,116,2,4,2
Héctor Fort,Barcelona,32,ESP,RB,18-044,8,8,272,0,0,0,2,0,0.0125,0.0125,0.075,1,0,254,6,4,5,7,0,197,220,13,125,6,4,2
Cédric Bakambu,Real Betis,11,COD,FW,33-165,9,9,272,0,1,0,8,3,0.13333333333333336,0.13333333333333336,0.022222222222222223,1,0,83,1,0,4,4,0,28,51,4,41,1,4,1
Juanpe,Girona,15,ESP,CB,33-144,4,4,271,0,0,0,0,0,0.0,0.0,0.0,1,0,257,7,4,7,2,0,199,219,14,120,1,0,0
Diego,Leganés,19,ESP,FW,24-121,8,8,271,1,0,0,8,3,0.1,0.1,0.0,0,0,89,0,0,0,3,0,37,56,5,52,2,4,0
Unai Núñez,Athletic Club,14,ESP,CB,27-233,3,3,270,0,0,0,1,0,0.06666666666666667,0.06666666666666667,0.0,1,0,178,2,12,2,0,0,126,145,10,89,0,1,1
Andriy Lunin,Real Madrid,13,UKR,GK,25-237,3,3,270,0,1,0,0,0,0.0,0.0,0.3,0,0,108,0,0,0,1,1,87,106,0,64,0,0,0
Jaime Mata,Las Palmas,17,ESP,RW,35-297,13,13,265,0,0,0,6,1,0.06923076923076923,0.06923076923076923,0.0,3,0,95,3,1,3,5,1,46,67,2,49,4,3,2
Toni Lato,Mallorca,3,ESP,LB,26-284,5,5,263,0,0,0,0,0,0.0,0.0,0.04,0,1,187,7,3,3,11,1,112,156,11,78,7,3,0
Nabil Aberdin,Getafe,27,FRA,DM,21-358,7,7,263,0,0,0,2,0,0.0,0.0,0.0,1,0,87,6,0,3,3,0,36,61,6,34,2,3,2
Enzo Loiodice,Las Palmas,12,FRA,DM,23-263,7,7,257,0,0,0,1,0,0.0,0.0,0.014285714285714287,1,0,220,4,3,3,6,0,151,186,11,128,2,3,0
Alfon,Celta Vigo,12,ESP,RW,25-114,8,8,257,1,0,0,13,4,0.1875,0.1875,0.1125,0,1,106,2,1,2,19,1,50,72,7,82,17,14,8
Adnan Januzaj,Las Palmas,24,BEL,CM,29-229,5,5,256,0,1,0,7,1,0.06000000000000001,0.06000000000000001,0.06000000000000001,2,0,178,3,0,2,15,3,103,142,17,108,10,15,4
Marcos André,Valladolid,9,BRA,FW,27-310,7,7,252,0,0,0,3,0,0.028571428571428574,0.028571428571428574,0.0,2,0,69,0,1,2,3,0,25,39,0,43,1,7,3
Pablo Torre,Barcelona,14,ESP,RM,21-150,7,7,248,3,1,0,3,3,0.042857142857142864,0.042857142857142864,0.07142857142857142,0,0,181,5,1,0,13,2,128,157,15,92,5,5,2
William Carvalho,Real Betis,14,POR,DM,32-130,4,4,247,0,0,0,3,1,0.025,0.025,0.0,0,0,205,3,3,4,7,0,151,183,20,137,1,4,3
Assane Diao,Real Betis,38,ESP,RW,18-360,7,7,244,0,2,0,5,0,0.05714285714285715,0.05714285714285715,0.17142857142857146,0,0,89,4,0,2,5,2,35,47,1,42,7,9,2
Marc Bernal,Barcelona,28,ESP,DM,17-083,3,3,242,0,0,0,2,1,0.03333333333333333,0.03333333333333333,0.0,2,0,184,8,1,5,1,0,148,160,8,97,0,3,2
Rafa Mir,Valencia,11,ESP,RM,27-060,4,4,239,0,1,0,4,0,0.05,0.05,0.1,1,0,69,6,0,1,1,1,27,42,3,27,2,4,0
Sergio Carreira,Celta Vigo,5,ESP,RM,23-315,4,4,237,0,0,0,1,0,0.0,0.0,0.2,0,0,143,6,1,2,10,0,97,113,8,84,6,5,2
Peter Federico,Getafe,19,DOM,"RM,LM",22-021,9,9,237,0,0,0,4,1,0.03333333333333334,0.03333333333333334,0.0,0,0,90,5,0,3,3,0,36,55,5,43,1,7,1
Carlos Benavídez,Alavés,23,URU,DM,26-139,6,6,230,1,1,0,2,1,0.016666666666666666,0.016666666666666666,0.09999999999999999,1,0,118,5,5,1,7,2,75,101,10,77,2,3,2
Cristhian Stuani,Girona,7,URU,FW,37-308,11,11,229,4,1,2,10,5,0.3909090909090909,0.2545454545454545,0.009090909090909092,1,0,68,2,2,1,6,1,24,38,0,28,1,3,2
Jesús Santiago,Getafe,20,ESP,CM,20-082,10,10,227,0,0,0,1,0,0.0,0.0,0.0,2,0,100,7,0,4,4,0,54,74,7,47,1,4,0
Umar Sadiq,Real Sociedad,19,NGA,FW,27-204,7,7,227,0,0,0,5,0,0.028571428571428574,0.028571428571428574,0.028571428571428574,1,0,85,2,1,3,3,0,25,48,5,49,5,9,5
Amath,Valladolid,19,SEN,RW,28-034,5,5,226,0,1,0,3,0,0.04,0.04,0.04,0,0,83,0,1,3,7,1,45,60,8,54,6,5,2
Darwin Machís,Valladolid,18,VEN,LM,31-200,4,4,223,0,0,0,6,0,0.175,0.175,0.025,0,0,95,0,1,2,4,0,42,75,9,45,1,4,1
Hugo Novoa,Alavés,16,ESP,RW,21-228,4,4,222,0,0,0,1,0,0.125,0.125,0.05,0,0,93,8,0,2,5,0,49,63,2,46,6,9,3
Pau Navarro,Villarreal,26,ESP,CB,19-154,5,5,220,0,0,0,0,0,0.0,0.0,0.0,0,0,151,6,0,3,0,0,104,124,9,62,0,3,1
Valery Fernández,Mallorca,16,ESP,"RM,RB",24-296,9,9,219,2,0,0,3,3,0.1,0.1,0.0,1,0,82,7,0,2,2,1,47,55,3,46,1,4,0
Asier Villalibre,Alavés,9,ESP,FW,26-321,7,7,213,1,0,1,5,1,0.18571428571428572,0.07142857142857142,0.0,0,0,61,0,1,1,5,0,27,39,4,33,2,2,0
Dinko Horkaš,Las Palmas,13,CRO,GK,25-204,3,3,211,0,0,0,0,0,0.0,0.0,0.0,1,0,103,0,0,0,0,0,83,97,0,57,0,0,0
Pere Milla,Espanyol,11,ESP,"LM,CM",31-331,7,7,210,0,0,0,4,1,0.028571428571428574,0.028571428571428574,0.014285714285714287,2,0,114,3,2,6,5,0,48,84,3,51,4,4,1
Abdón Prats,Mallorca,9,ESP,FW,31-261,12,12,206,2,0,1,9,3,0.15,0.09166666666666667,0.0,3,0,72,1,0,1,2,0,28,41,5,37,0,0,0
Frenkie de Jong,Barcelona,21,NED,DM,27-147,7,7,204,1,1,0,2,1,0.028571428571428574,0.028571428571428574,0.17142857142857143,0,0,182,1,1,2,9,4,157,169,21,124,5,4,2
Luka Romero,Alavés,20,ARG,RW,19-272,6,6,199,0,0,1,1,0,0.13333333333333333,0.0,0.016666666666666666,0,0,69,4,1,2,8,1,34,49,0,42,3,3,1
Cenk Özkacar,Valladolid,6,TUR,FW,23-330,4,4,196,0,0,0,1,0,0.025,0.025,0.0,0,0,128,3,7,4,0,0,81,98,3,45,1,0,0
Juanmi,Real Betis,7,ESP,LW,31-087,8,8,190,0,0,0,4,1,0.0625,0.0625,0.0375,2,0,78,6,1,4,3,0,41,52,2,42,4,5,4
Gabriel Osei Misehouy,Girona,27,NED,"FW,RM",19-028,6,6,188,1,0,0,5,2,0.16666666666666666,0.16666666666666666,0.03333333333333333,0,0,87,0,0,0,7,1,60,69,13,63,4,9,6
Fernando Calero,Espanyol,5,ESP,CB,28-349,3,3,187,0,0,0,0,0,0.0,0.0,0.0,0,0,133,4,5,3,1,0,85,101,1,62,0,0,0
Pablo Durán,Celta Vigo,18,ESP,RW,23-090,6,6,186,0,1,0,2,0,0.03333333333333333,0.03333333333333333,0.08333333333333333,0,0,77,3,2,1,8,1,40,55,2,53,6,3,2
Sergi Canós,Valencia,7,ESP,LM,27-211,7,7,184,0,0,0,8,3,0.05714285714285715,0.05714285714285715,0.014285714285714287,1,0,122,6,2,2,14,0,47,85,4,63,7,8,1
Portu,Girona,24,ESP,LW,32-086,7,7,183,0,1,0,1,0,0.0,0.0,0.05714285714285715,2,0,84,4,0,3,4,2,51,66,5,44,3,2,1
Domingos Duarte,Getafe,22,POR,CB,29-245,3,3,182,0,0,0,0,0,0.0,0.0,0.0,0,0,93,2,2,1,0,0,72,83,6,57,1,0,0
Julián Chicco,Leganés,24,ARG,AM,26-217,7,7,181,0,0,0,1,0,0.0,0.0,0.014285714285714287,0,0,102,6,2,2,2,0,59,74,14,56,5,3,2
Nabil Fekir,Real Betis,8,FRA,AM,31-028,2,2,180,0,1,0,7,1,0.3,0.3,0.25,0,0,107,3,0,2,12,1,67,82,10,72,9,5,0
Gerard Moreno,Villarreal,7,ESP,FW,32-134,4,4,179,1,1,1,9,5,0.35000000000000003,0.15000000000000002,0.375,0,0,101,2,1,0,12,1,63,80,15,62,0,6,3
Aritz Arambarri,Leganés,22,ESP,CB,26-199,2,2,177,0,0,0,1,0,0.0,0.0,0.0,0,0,86,1,3,2,1,0,49,67,2,44,0,0,0
Mateu Morey,Mallorca,2,ESP,RB,24-266,3,3,175,0,0,0,0,0,0.0,0.0,0.0,0,0,125,3,6,1,3,1,79,102,5,52,5,3,2
Lucas Ocampos,Sevilla,5,ARG,"LW,RW",30-036,2,2,175,0,1,0,4,2,0.1,0.1,0.15,0,0,115,3,0,2,7,2,65,91,7,63,5,8,2
Sergi Dominguez,Barcelona,36,ESP,CB,19-152,3,3,172,0,0,0,0,0,0.0,0.0,0.0,1,0,191,1,3,0,0,0,171,180,13,127,0,0,0
Óscar Trejo,Rayo Vallecano,8,ARG,AM,36-120,5,5,167,0,0,0,2,0,0.06000000000000001,0.06000000000000001,0.2,0,0,132,3,1,1,5,0,77,97,14,66,2,10,4
Pau Victor Delgado,Barcelona,18,ESP,LW,22-265,11,11,166,2,1,0,7,4,0.17272727272727273,0.17272727272727273,0.045454545454545456,2,0,104,1,2,5,6,2,59,74,4,59,1,10,7
