Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
09/21/2024,Real Madrid,Espanol,4,1,H,0,0,D,,31,10,14,2,7,5,9,4,4,3,0,0
09/22/2024,Getafe,Leganes,1,1,D,0,0,D,,12,6,3,3,16,17,6,2,3,2,0,0
09/22/2024,Ath Bilbao,Celta,3,1,H,2,1,H,,10,11,7,4,16,11,3,6,3,2,0,0
09/22/2024,Villarreal,Barcelona,1,5,A,1,2,A,,13,17,4,10,12,12,7,3,6,1,0,0
09/22/2024,Vallecano,Ath Madrid,1,1,D,1,0,H,,15,10,3,5,9,12,3,4,0,0,0,0
09/23/2024,Betis,Mallorca,1,2,A,1,1,D,,14,6,6,6,12,12,6,3,3,2,0,0
09/24/2024,Sevilla,Valladolid,2,1,H,1,0,H,,22,8,5,2,14,12,6,4,5,4,1,0
09/24/2024,Valencia,Osasuna,0,0,D,0,0,D,,10,9,2,2,6,11,10,5,2,3,0,0
09/24/2024,Real Madrid,Alaves,3,2,H,2,0,H,,10,12,4,3,7,10,4,4,4,0,0,0
09/25/2024,Girona,Vallecano,0,0,D,0,0,D,,11,2,0,0,8,16,4,3,3,4,0,0
09/25/2024,Barcelona,Getafe,1,0,H,1,0,H,,16,7,4,1,4,14,7,5,1,1,0,0
09/26/2024,Espanol,Villarreal,1,2,A,1,1,D,,11,15,2,4,12,14,4,1,5,3,0,0
09/26/2024,Las Palmas,Betis,1,1,D,1,1,D,,8,14,2,5,21,10,1,4,4,2,0,0
09/26/2024,Celta,Ath Madrid,0,1,A,0,0,D,,9,7,4,2,10,7,2,3,2,2,0,0
09/27/2024,Valladolid,Mallorca,1,2,A,0,0,D,,11,14,1,6,15,9,7,4,3,2,0,0
09/28/2024,Getafe,Alaves,2,0,H,1,0,H,,14,9,8,1,17,24,2,2,3,6,0,0
09/28/2024,Vallecano,Leganes,1,1,D,1,0,H,,15,13,6,3,12,7,5,5,2,1,0,0
09/28/2024,Sociedad,Valencia,3,0,H,1,0,H,,11,9,6,4,7,12,6,4,0,0,0,0
09/28/2024,Osasuna,Barcelona,4,2,H,2,0,H,,11,12,6,5,13,3,5,8,2,2,0,0
09/29/2024,Celta,Girona,1,1,D,0,1,A,,12,9,2,4,9,14,4,4,1,0,0,0
09/29/2024,Ath Bilbao,Sevilla,1,1,D,1,0,H,,13,13,3,4,6,7,4,7,0,3,1,0
09/29/2024,Betis,Espanol,1,0,H,0,0,D,,20,8,12,1,14,20,8,4,2,4,0,0
09/29/2024,Ath Madrid,Real Madrid,1,1,D,0,0,D,,12,12,4,4,11,11,5,5,3,1,1,0
09/30/2024,Villarreal,Las Palmas,3,1,H,1,0,H,,17,7,7,3,14,10,3,2,0,3,0,0
10/04/2024,Leganes,Valencia,0,0,D,0,0,D,,8,6,0,1,15,14,1,2,2,2,0,0
10/05/2024,Espanol,Mallorca,2,1,H,1,0,H,,8,11,3,4,14,19,4,6,1,5,0,0
10/05/2024,Getafe,Osasuna,1,1,D,1,0,H,,11,6,3,2,17,10,4,2,2,4,0,0
10/05/2024,Las Palmas,Celta,0,1,A,0,1,A,,24,8,5,1,9,13,11,2,3,8,0,2
10/05/2024,Valladolid,Vallecano,1,2,A,0,0,D,,13,17,5,3,13,18,5,13,4,2,0,0
10/05/2024,Real Madrid,Villarreal,2,0,H,1,0,H,,11,10,2,1,7,11,2,5,0,1,0,0
10/06/2024,Girona,Ath Bilbao,2,1,H,1,1,D,,14,13,6,4,12,13,6,1,4,3,0,1
10/06/2024,Alaves,Barcelona,0,3,A,0,3,A,,11,14,2,8,13,8,11,3,2,2,0,0
10/06/2024,Sevilla,Betis,1,0,H,0,0,D,,14,11,5,3,15,15,4,1,6,3,1,0
10/06/2024,Sociedad,Ath Madrid,1,1,D,0,1,A,,16,4,8,1,10,9,5,1,0,2,0,0
10/18/2024,Alaves,Valladolid,2,3,A,1,1,D,,10,12,4,4,15,14,5,6,6,2,1,0
10/19/2024,Ath Bilbao,Espanol,4,1,H,3,0,H,,10,5,6,2,15,22,5,5,2,3,0,0
10/19/2024,Osasuna,Betis,1,2,A,0,1,A,,19,11,6,7,12,8,10,2,2,1,0,1
10/19/2024,Girona,Sociedad,0,1,A,0,1,A,,8,14,3,4,10,12,6,6,2,1,0,0
10/19/2024,Celta,Real Madrid,1,2,A,0,1,A,,13,10,5,3,16,13,6,2,2,1,0,0
10/20/2024,Mallorca,Vallecano,1,0,H,0,0,D,,19,10,5,2,9,13,9,2,1,1,0,0
10/20/2024,Ath Madrid,Leganes,3,1,H,0,1,A,,24,5,9,2,14,8,8,2,5,1,0,0
10/20/2024,Villarreal,Getafe,1,1,D,1,0,H,,10,21,4,4,18,21,5,5,4,3,0,0
10/20/2024,Barcelona,Sevilla,5,1,H,3,0,H,,21,7,9,1,6,14,5,5,1,2,0,0
10/21/2024,Valencia,Las Palmas,2,3,A,1,1,D,,14,11,7,6,12,12,11,2,4,9,1,0
10/25/2024,Espanol,Sevilla,0,2,A,0,2,A,,16,6,1,3,14,9,13,2,2,0,0,0
10/26/2024,Valladolid,Villarreal,1,2,A,0,1,A,,7,21,3,9,16,13,4,6,4,3,0,0
10/26/2024,Vallecano,Alaves,1,0,H,0,0,D,,16,15,4,7,8,14,6,2,2,4,1,0
10/26/2024,Las Palmas,Girona,1,0,H,1,0,H,,12,8,3,3,12,14,3,5,4,5,0,1
10/26/2024,Real Madrid,Barcelona,0,4,A,0,0,D,,9,15,4,7,15,17,10,3,2,5,0,0
10/27/2024,Leganes,Celta,3,0,H,0,0,D,,7,18,4,5,15,17,4,2,2,2,0,0
10/27/2024,Getafe,Valencia,1,1,D,0,1,A,,15,2,4,1,20,20,8,2,3,7,0,0
10/27/2024,Betis,Ath Madrid,1,0,H,1,0,H,,24,10,3,3,8,4,3,10,3,2,0,0
10/27/2024,Sociedad,Osasuna,0,2,A,0,2,A,,19,10,9,4,7,14,14,4,3,4,0,0
10/28/2024,Mallorca,Ath Bilbao,0,0,D,0,0,D,,4,20,1,1,9,12,1,14,5,1,1,0
11/01/2024,Alaves,Mallorca,1,0,H,0,0,D,,13,7,3,2,19,12,7,2,3,2,0,0
11/02/2024,Osasuna,Valladolid,1,0,H,1,0,H,,20,7,4,4,21,12,7,2,1,5,0,0
11/02/2024,Girona,Leganes,4,3,H,2,2,D,,15,8,6,5,17,15,6,1,2,4,0,0
11/03/2024,Ath Madrid,Las Palmas,2,0,H,1,0,H,,15,1,3,1,13,13,9,1,1,1,0,0
11/03/2024,Barcelona,Espanol,3,1,H,3,0,H,,14,10,9,3,13,14,9,5,0,3,0,0
11/03/2024,Sevilla,Sociedad,0,2,A,0,1,A,,8,9,0,3,6,17,5,9,2,1,0,0
11/03/2024,Ath Bilbao,Betis,1,1,D,0,0,D,,17,7,8,4,9,8,6,2,0,0,0,0
11/04/2024,Celta,Getafe,1,0,H,1,0,H,,10,10,3,2,12,11,0,2,1,4,0,1
11/08/2024,Vallecano,Las Palmas,1,3,A,0,1,A,,35,11,7,3,9,13,12,4,1,3,0,0
11/09/2024,Real Madrid,Osasuna,4,0,H,2,0,H,,18,2,8,0,9,16,11,3,0,2,0,0
11/09/2024,Villarreal,Alaves,3,0,H,1,0,H,,13,9,3,3,17,21,7,2,1,3,0,0
11/09/2024,Leganes,Sevilla,1,0,H,0,0,D,,8,13,4,2,7,10,0,6,2,1,0,1
11/10/2024,Betis,Celta,2,2,D,1,1,D,,19,3,6,2,12,8,2,0,3,0,0,0
11/10/2024,Mallorca,Ath Madrid,0,1,A,0,0,D,,12,9,6,2,10,16,7,2,1,3,0,0
11/10/2024,Getafe,Girona,0,1,A,0,1,A,,8,3,0,2,25,16,5,2,3,3,0,0
11/10/2024,Valladolid,Ath Bilbao,1,1,D,0,0,D,,6,17,3,1,12,12,5,5,4,4,0,0
11/10/2024,Sociedad,Barcelona,1,0,H,1,0,H,,14,11,6,0,17,6,7,6,3,1,0,0
11/22/2024,Getafe,Valladolid,2,0,H,0,0,D,,12,6,5,3,15,15,3,2,3,2,0,0
11/23/2024,Valencia,Betis,4,2,H,1,1,D,,11,7,5,3,10,16,2,4,4,2,0,0
11/23/2024,Ath Madrid,Alaves,2,1,H,0,1,A,,11,4,8,1,18,19,5,0,3,3,0,0
11/23/2024,Girona,Espanol,4,1,H,4,0,H,,12,9,5,1,4,19,6,3,0,3,0,0
